,lh_bankssts,lh_caudalanteriorcingulate,lh_caudalmiddlefrontal,lh_cuneus,lh_entorhinal,lh_fusiform,lh_inferiorparietal,lh_inferiortemporal,lh_isthmuscingulate,lh_lateraloccipital,lh_lateralorbitofrontal,lh_lingual,lh_medialorbitofrontal,lh_middletemporal,lh_parahippocampal,lh_paracentral,lh_parsopercularis,lh_parsorbitalis,lh_parstriangularis,lh_pericalcarine,lh_postcentral,lh_posteriorcingulate,lh_precentral,lh_precuneus,lh_rostralanteriorcingulate,lh_rostralmiddlefrontal,lh_superiorfrontal,lh_superiorparietal,lh_superiortemporal,lh_supramarginal,lh_frontalpole,lh_temporalpole,lh_transversetemporal,lh_insula,rh_bankssts,rh_caudalanteriorcingulate,rh_caudalmiddlefrontal,rh_cuneus,rh_entorhinal,rh_fusiform,rh_inferiorparietal,rh_inferiortemporal,rh_isthmuscingulate,rh_lateraloccipital,rh_lateralorbitofrontal,rh_lingual,rh_medialorbitofrontal,rh_middletemporal,rh_parahippocampal,rh_paracentral,rh_parsopercularis,rh_parsorbitalis,rh_parstriangularis,rh_pericalcarine,rh_postcentral,rh_posteriorcingulate,rh_precentral,rh_precuneus,rh_rostralanteriorcingulate,rh_rostralmiddlefrontal,rh_superiorfrontal,rh_superiorparietal,rh_superiortemporal,rh_supramarginal,rh_frontalpole,rh_temporalpole,rh_transversetemporal,rh_insula
lh_bankssts,0.0,0.10642419706796884,0.242794166080523,0.09771631487935489,0.09009326895918371,0.22321837972285682,0.23012354210126007,0.1774136417432338,0.1441064650713065,0.12896418103297272,0.2027527516158184,0.14090577290521591,0.11709069680198479,0.18159369583546553,0.14243548371799958,0.17708512619283162,0.2054498738171323,0.08876664091240341,0.17478471262787912,0.12760745106716423,0.1401973409331132,0.15417786911366713,0.24423677336566826,0.23671856090752746,0.1325087652865228,0.16485651569059231,0.2344522845764524,0.17401279400498854,0.2565568231734658,0.2353857549759627,0.057394243680334286,0.08686466778722585,0.17118019373733048,0.15816418284589703,0.28568982195820913,0.10798218059002354,0.18218348580508872,0.10787254766036028,0.08473872191144674,0.2105924453279444,0.23310723348167736,0.16596795865599878,0.17500251851364196,0.15258899262302725,0.17095653429532748,0.15300175744877734,0.14317490088990256,0.19312218104033865,0.1487277938026854,0.1971259148628733,0.18040244361472743,0.09605076869659183,0.1769635625228941,0.10729388957359584,0.122848151683567,0.17253913982159963,0.23673168700480762,0.27179782028872995,0.13590227322914347,0.15269439176272273,0.200851345183453,0.18441230200541114,0.23111482367573613,0.23056638849292616,0.06500737249829394,0.08121831201037749,0.15099032177733687,0.1607521269961663
lh_caudalanteriorcingulate,0.10642419706796884,0.0,0.09392281400850098,0.09594681840196502,0.07550646427086717,0.14827598945312176,0.1263431534201262,0.119279099317758,0.159163528806146,0.11718223180757545,0.13145098983318007,0.15557123219085728,0.11850374088082442,0.10849529198720063,0.0895829338437731,0.10147970360444027,0.09715295503220205,0.08027465389188745,0.11259700868483416,0.14519615433865146,0.11462890453365596,0.2157629924069563,0.09770722589501729,0.13705788865110627,0.19229801881202754,0.15215763398575138,0.11964885450190331,0.12315603538897048,0.10002126701618834,0.10926628932587902,0.059530708526275525,0.06064298049985691,0.12918183394716454,0.08231373035737348,0.0916339618637574,0.2805228810296407,0.1094500853908068,0.11397180947694394,0.07637099615969282,0.12829693520216945,0.12445940477505571,0.12386652985676658,0.15738198830456926,0.13868266570522678,0.1480095430109762,0.13702446058258752,0.15101589662921847,0.11772325297429845,0.09427597250109991,0.09283310391214045,0.08998098076241241,0.08764426251203328,0.1153429291219254,0.13141827920527746,0.11762736473898118,0.17761767244452384,0.10387788941990637,0.1208230643639351,0.1695353614437585,0.13621224995851583,0.13190283243464626,0.11494429092260942,0.10266020071050307,0.1146121604051574,0.061053571791271626,0.06347055878183192,0.09743383113070345,0.09523292752552662
lh_caudalmiddlefrontal,0.242794166080523,0.09392281400850098,0.0,0.10181835457584297,0.09922853589495932,0.18808514857943975,0.3106119050421731,0.18981784453188708,0.12502769694071725,0.1415547403284103,0.2167043326566385,0.13262477015001725,0.11872448952660881,0.21404803942400188,0.1370967766977786,0.1944637352039661,0.26106672645101237,0.10893784267571685,0.22256816802074386,0.10733921068306078,0.1759531058304529,0.1277483839875542,0.2970992544357446,0.2411524373016194,0.1142057095731891,0.19209021722665306,0.2683067825465917,0.22838565660956892,0.2859493744746785,0.30919945121531434,0.06783656269313663,0.08905200889973915,0.14165273340173826,0.1398718577061362,0.2537219304274226,0.09206302823882088,0.22672406843099516,0.11808812837502372,0.09457489974979627,0.1844289159798276,0.304108399397222,0.16852255661149107,0.15446442102167582,0.17110026039788578,0.1666284482589969,0.15134309894408554,0.13844640476781647,0.19796895379387563,0.13945532118559748,0.199982047052572,0.23306193547664905,0.12238906428605974,0.2325722667161408,0.0972618403398983,0.1473853809448614,0.1390063774318687,0.30773238241857237,0.2898793207563419,0.11816401765326655,0.1876428217281125,0.2053598040881458,0.2373375943038971,0.24286931503987652,0.25578195336356446,0.08039620657978745,0.08626690753504891,0.14413406589657002,0.1427039166054801
lh_cuneus,0.09771631487935489,0.09594681840196502,0.10181835457584297,0.0,0.11344846398474256,0.1297292278491155,0.13096848689346693,0.1396830779589286,0.12214559442769019,0.20873965408925654,0.1365342932752322,0.22696886474843384,0.18632740320013216,0.11095484576080672,0.10024974590965072,0.14339189288234466,0.12192247122263396,0.14906525596111095,0.13293713459382794,0.1794531330689438,0.17816741476271383,0.10174346798131477,0.11155696200704254,0.13982923159881214,0.10534751378394831,0.16165183211709513,0.12232988206535254,0.1729646279050373,0.10690936067657118,0.12743694465690938,0.1384873880386735,0.07345639218047309,0.10344022054651532,0.07571664482556985,0.09380049117490812,0.09220894673028764,0.1390351946583964,0.2560373921198113,0.1465558400961157,0.11897142517051906,0.15331809687292522,0.14997454000786287,0.12106105194313177,0.21604822929890224,0.1356340394325219,0.23336662877609216,0.16537864887096423,0.10722125664881572,0.12199127830919136,0.1349442889570719,0.11712369315470725,0.12899665034438712,0.15468833047471087,0.17317122319728145,0.1961308947776962,0.10048353642427502,0.12889993469772024,0.12349091130283006,0.10374775841068293,0.1651180008884734,0.12476282175771357,0.18242987765321556,0.11050332296636146,0.14606559372087957,0.11270129429071157,0.09309589133913035,0.07894583618782923,0.08379366842827098
lh_entorhinal,0.09009326895918371,0.07550646427086717,0.09922853589495932,0.11344846398474256,0.0,0.10842536733305211,0.12096105162281706,0.18814974099431986,0.1126623076060995,0.16928376412044713,0.14179406690426666,0.11426796789998361,0.12871003016329557,0.17883349559674114,0.12646410089220328,0.12166845901083892,0.12412812078492823,0.16060415185748517,0.14125041307699365,0.07522464745620477,0.11507067525706587,0.08082782304902027,0.11844372510066936,0.12127448085411664,0.09241880064676825,0.11870014122341245,0.14534231721468022,0.1281392403439189,0.13095580903288892,0.13089424038008013,0.09448465369920599,0.19375580175803844,0.07610498037663581,0.08007891309949766,0.08405218684924648,0.07645430297728985,0.08538104702546054,0.16922666140318388,0.24199690357554873,0.13172448332234238,0.1455566222885679,0.18610702486096542,0.13496680125379135,0.16485388258262867,0.13886537801919005,0.11638267560027507,0.13776986915044764,0.16137829833632844,0.10591088892448088,0.11071220948588828,0.13620961596180417,0.17029816829519215,0.13195322321142725,0.07428362600877493,0.11124218424310085,0.09198162033468113,0.1226025805069644,0.11381651943075498,0.08999967135595906,0.14119399661814272,0.15946469375103725,0.12906640322966736,0.14595741316548455,0.13593385168250974,0.11699953678285202,0.19689521336625007,0.07630852292875206,0.0848600202687423
lh_fusiform,0.22321837972285682,0.14827598945312176,0.18808514857943975,0.1297292278491155,0.10842536733305211,0.0,0.23056131499291224,0.22143397286009947,0.19357258021160462,0.18872662152713346,0.24418819742680473,0.23759325024902772,0.15897679547980437,0.19068857102247933,0.1665787373581514,0.19948868668348582,0.20804593094568133,0.11149908951640668,0.1842535235252301,0.14183264421107286,0.16718024306586082,0.20700780404333824,0.20376512661808655,0.28971664111001016,0.17274537797840778,0.2512922018136583,0.2478239971501658,0.2077562811977363,0.21626536829214227,0.2132029399992074,0.07220831554395077,0.08828655398786199,0.17615284337850773,0.13799723468436872,0.16971051903419,0.14128014654181775,0.1766444202384197,0.1370127293263794,0.1003300433042182,0.3406245966435167,0.2533014087359725,0.22460853415770227,0.21922030501360865,0.2098595601101276,0.22642369691909367,0.22021655686313316,0.18869376209413743,0.22707358036954614,0.17432369567087333,0.19205425068889106,0.17393376253721923,0.11526890422405814,0.18450708349154207,0.12238216759473464,0.14915812152747446,0.21012194178019705,0.21321090815092295,0.2785592989272581,0.15991184249120413,0.2121487364641404,0.2680788407510214,0.1956751051105867,0.2091879848501302,0.22645994095196495,0.08032721926029238,0.08815602579933118,0.1391966615048723,0.14046032092439042
lh_inferiorparietal,0.23012354210126007,0.1263431534201262,0.3106119050421731,0.13096848689346693,0.12096105162281706,0.23056131499291224,0.0,0.24582958078523887,0.15641000327242532,0.21243467930116058,0.2640486455773996,0.18169493808893608,0.15669529164814522,0.25469845354729564,0.13940378892889255,0.21291588514414306,0.28034044603909636,0.14797778786289265,0.33552089149595477,0.13912743923777213,0.22863562531691672,0.16339219233430344,0.29391787569474687,0.3272621411115967,0.14955106416436856,0.3099971917731589,0.2995093899380002,0.3165277219048322,0.2770282690653749,0.34169513062419293,0.08432894663778935,0.09451639538307162,0.17602423723814045,0.1227652663082409,0.22876537769828803,0.1236792631967131,0.23922262217996454,0.16168274628198692,0.11585938796369157,0.19988680934586947,0.37924966237309454,0.24535648540780094,0.19619336712874544,0.2575511014010406,0.2232971257695442,0.1859843859383278,0.19950886519502423,0.24766278744275455,0.14740469352040036,0.20201314688697045,0.23210368955242652,0.15454342158407627,0.32731965005473396,0.12195749845595484,0.19452880975497067,0.1662587441466419,0.30926560852833107,0.31160346554619506,0.14167125648149523,0.2869048825314477,0.2610500553868702,0.2958050547719275,0.23953754733673827,0.30923993400458405,0.09706786923990529,0.09419740227741837,0.13647183405104568,0.1320936868337654
lh_inferiortemporal,0.1774136417432338,0.119279099317758,0.18981784453188708,0.1396830779589286,0.18814974099431986,0.22143397286009947,0.24582958078523887,0.0,0.16884649969791612,0.24801598428361227,0.2696379366041137,0.19163658887264698,0.19588316348636406,0.2844765822109863,0.17247132546478286,0.19961299050823061,0.21421050892792345,0.16952174623362018,0.22883406940943804,0.12657240670418546,0.21355198044051815,0.15322269796090188,0.22172942757232006,0.23321309828110762,0.14517215804564967,0.2587736035627176,0.3093984748287827,0.24109595286930116,0.2393352278071122,0.2555322539105667,0.09082242922863422,0.1383567866171027,0.1223225382244971,0.11303452281326062,0.1423924192531618,0.11880704269351028,0.14664149337725585,0.187874519082915,0.173667547472044,0.25607782419367664,0.30482841018006746,0.3413345647598345,0.21295696605705178,0.26823545613136507,0.28141381094288315,0.1903671035734849,0.22902357645616422,0.3052925291198883,0.1557749168473056,0.17988942617298537,0.21285265189857808,0.18015922275190993,0.23099379989556734,0.11523231375614068,0.175584835494045,0.16153023078263887,0.2314551116682523,0.2327047672300476,0.14799941877398667,0.2748081470007316,0.31472606031241385,0.2232987955657833,0.23980398575283224,0.23038367368981394,0.10455637782789753,0.12417915916579987,0.11203336927332387,0.12002247317933959
lh_isthmuscingulate,0.1441064650713065,0.159163528806146,0.12502769694071725,0.12214559442769019,0.1126623076060995,0.19357258021160462,0.15641000327242532,0.16884649969791612,0.0,0.17568146859842834,0.18808770490877644,0.20123554872977656,0.166839111452128,0.14653761942453647,0.15414247098165942,0.14514189654235818,0.13205237397326944,0.10115198568146261,0.13514415812609173,0.1678862706854246,0.14986640952789204,0.21607902827071337,0.13418919400090676,0.17398694408043242,0.1750906997432621,0.17390180727824173,0.16007239080215765,0.15651075794293207,0.14087079209337797,0.13738085051918925,0.06944087073549553,0.08262739483865576,0.13792533474787594,0.11306128596305828,0.11813124788802484,0.17794355507274298,0.132695339249421,0.14585830243152711,0.11748611249977556,0.18470331794365483,0.15945306483012256,0.17920308033514637,0.29027184221222835,0.18531699727564238,0.1909780323743985,0.1817696227718497,0.17871614454716944,0.15385825924438498,0.1620327928238529,0.13942106784271724,0.12259532444848179,0.11067181377696787,0.13654259763954033,0.1536013852737997,0.1406522947063993,0.22605825386288084,0.14898108532886012,0.15631149514789133,0.18029389517369124,0.14969558030232244,0.16987644213961828,0.13948039675651694,0.14295048789790096,0.13967212670805473,0.07408095740711758,0.08475806515007579,0.11262644808058597,0.12644387581944844
lh_lateraloccipital,0.12896418103297272,0.11718223180757545,0.1415547403284103,0.20873965408925654,0.16928376412044713,0.18872662152713346,0.21243467930116058,0.24801598428361227,0.17568146859842834,0.0,0.22051490566941012,0.24435141150515025,0.2113864279233799,0.19269551879925342,0.1382141370137551,0.2127696638394405,0.18051142113328011,0.2064985734689528,0.20098778693726257,0.14876435908259517,0.22627056300032314,0.14320131516934168,0.17043140235833565,0.2111043031682323,0.13899560506857836,0.25353908204665476,0.21513682011429192,0.2427962866837477,0.16264255285316173,0.20439311785894143,0.12331761889290026,0.10989949228208022,0.12116795227298396,0.08110248911011965,0.10899506817626113,0.11670728103539817,0.1377154860264508,0.26628917099443977,0.19747709687483636,0.17741470487121525,0.2357791181525962,0.26952970346898214,0.19721135523998767,0.4197176351810337,0.21119349548461047,0.21296054679935905,0.23405797360091657,0.18948966486249996,0.15355817628687685,0.17691023662713318,0.1583182498799239,0.18472997841264574,0.1971400678645826,0.13414994889840479,0.19830600866358555,0.14345361204634058,0.19963627450775892,0.1904184323408384,0.1281368454851894,0.2454997127791238,0.24076836729984008,0.232679589858285,0.16513955830811267,0.20400648912681377,0.12345197852939431,0.1163786066459694,0.08949665861669537,0.08970117235865535
