,lh_bankssts,lh_caudalanteriorcingulate,lh_caudalmiddlefrontal,lh_cuneus,lh_entorhinal,lh_fusiform,lh_inferiorparietal,lh_inferiortemporal,lh_isthmuscingulate,lh_lateraloccipital,lh_lateralorbitofrontal,lh_lingual,lh_medialorbitofrontal,lh_middletemporal,lh_parahippocampal,lh_paracentral,lh_parsopercularis,lh_parsorbitalis,lh_parstriangularis,lh_pericalcarine,lh_postcentral,lh_posteriorcingulate,lh_precentral,lh_precuneus,lh_rostralanteriorcingulate,lh_rostralmiddlefrontal,lh_superiorfrontal,lh_superiorparietal,lh_superiortemporal,lh_supramarginal,lh_frontalpole,lh_temporalpole,lh_transversetemporal,lh_insula,rh_bankssts,rh_caudalanteriorcingulate,rh_caudalmiddlefrontal,rh_cuneus,rh_entorhinal,rh_fusiform,rh_inferiorparietal,rh_inferiortemporal,rh_isthmuscingulate,rh_lateraloccipital,rh_lateralorbitofrontal,rh_lingual,rh_medialorbitofrontal,rh_middletemporal,rh_parahippocampal,rh_paracentral,rh_parsopercularis,rh_parsorbitalis,rh_parstriangularis,rh_pericalcarine,rh_postcentral,rh_posteriorcingulate,rh_precentral,rh_precuneus,rh_rostralanteriorcingulate,rh_rostralmiddlefrontal,rh_superiorfrontal,rh_superiorparietal,rh_superiortemporal,rh_supramarginal,rh_frontalpole,rh_temporalpole,rh_transversetemporal,rh_insula
lh_bankssts,0.0,0.14135099885707955,0.18295578935700435,0.10145305583892555,0.0702861748308305,0.16785140843527133,0.2159573736713966,0.20028054884961954,0.12971773281460341,0.14288980496177975,0.1589684875354811,0.13952715852211775,0.1109083567906006,0.14362115465384492,0.12224198234534871,0.1424239887539533,0.16981280767922938,0.08897733279579591,0.160392647775094,0.08910105732037309,0.11209191086373956,0.14754776300286251,0.16414316739835,0.1838122228042096,0.12199850403643037,0.14854005116208538,0.16737598503846657,0.1419153029216024,0.1870473680326195,0.18082125966567386,0.06633182986914046,0.055538177320371376,0.1768449814548654,0.1802485632535464,0.2759384197238756,0.09651939174314127,0.15944464224848334,0.09873740236715964,0.06830863165583292,0.16394838663399214,0.19748993378329907,0.1624872333622598,0.11810528436868888,0.14419897598435155,0.1641184146252531,0.146090565573185,0.1311284724452832,0.15023571041625125,0.11914582789985598,0.14214797224434692,0.18015835684935105,0.08166571861489504,0.16144770722740096,0.08647059879959518,0.11622381408245258,0.1265783099934714,0.17297217740320606,0.20415577366538867,0.14562294946418408,0.17594339140076212,0.1510345407250206,0.15820098090031662,0.18719568778991297,0.16788864688376526,0.06529924588028961,0.05910982362480557,0.1773118312084896,0.16130925734153798
lh_caudalanteriorcingulate,0.14135099885707955,0.0,0.12253065561642475,0.09449119133566691,0.06292633442190046,0.14929077189789555,0.14408234754727697,0.12391763449254047,0.14036945236950357,0.12366072140439556,0.1419831698190054,0.14278620945277176,0.10955412299679995,0.11359355235146716,0.10837122479088024,0.10937018790028208,0.1272343450881133,0.09061437276529537,0.1199164892591962,0.10307510825901735,0.11384250305155032,0.16294323555107684,0.12418221012074196,0.15333081040948834,0.15285162148125297,0.14389316108789832,0.1466615826689636,0.1199937921360881,0.12289629245648603,0.13448170597510387,0.06148095700621407,0.05281714640316477,0.1456742563547301,0.10689725728626996,0.14179021856156682,0.13415193549413246,0.11595636908535635,0.09305346716199861,0.0607425252122189,0.15010503839325728,0.15123267757477793,0.12240049377171992,0.13944230491976417,0.12672282321319248,0.1425656958501588,0.13564153245881813,0.1286524177798881,0.12183988073636291,0.0942595894763542,0.11590543391572464,0.13077324597208292,0.08397839793730165,0.1299570312589754,0.11483188034839696,0.12097380108290275,0.1542213902314593,0.12205537751212583,0.1477381284700106,0.21179201127074304,0.14223218495226692,0.138404297903866,0.11772568307093277,0.12015582138222636,0.12867986851539037,0.06049885607954379,0.053781409205238696,0.14803259211739875,0.10183763621801652
lh_caudalmiddlefrontal,0.18295578935700435,0.12253065561642475,0.0,0.12394782304327764,0.07935704725118607,0.16012134261875435,0.31802321978626585,0.2004568503180246,0.1236950530586293,0.2029702342578095,0.18056662846686136,0.16809587450030644,0.15479336528775078,0.21818111269991758,0.11789480187685313,0.1936704782546104,0.23548464384884016,0.136830353791209,0.26246675977593936,0.11197056405360457,0.20293269520637322,0.13959491343465794,0.3071899044309456,0.27309893831200016,0.10454704530643483,0.2647232703852794,0.2576932083442436,0.28846512822037557,0.23173265544465818,0.2950074093686737,0.09236281168165181,0.06309021955141363,0.15852154760759543,0.11945362468709639,0.20637361011813599,0.09284829360183376,0.3008503430509024,0.12493250389686698,0.0766573126991507,0.16384304074545464,0.2909006893031903,0.189393419947177,0.11784635818604197,0.2247126983034878,0.17390594674675416,0.16946082562295037,0.14872580986335426,0.21672692255510723,0.12937991440466481,0.21495649512995713,0.24982851721122906,0.12766984475019513,0.252027813515329,0.11112812879337806,0.18975925694917253,0.1267512153004625,0.28014794255575204,0.28780360154169093,0.11878124314705359,0.3025358076181364,0.22236768134936952,0.28866128078431447,0.21779575901777243,0.2674271666599507,0.0846853456740318,0.06614302637256526,0.1592832839939206,0.10549832258502263
lh_cuneus,0.10145305583892555,0.09449119133566691,0.12394782304327764,0.0,0.07842001454482245,0.1022326490028642,0.13728739951576746,0.12681074436069634,0.12216913377603816,0.26967817649358894,0.12186295550904634,0.23427388185157036,0.1469967046581437,0.11542806575866585,0.10102562724759734,0.14595769133792796,0.141720643906677,0.1536422483570549,0.16560828202019048,0.18457602508338924,0.2054793599202044,0.10158141956902975,0.1281537393354977,0.15996411376290326,0.0879583480191464,0.16031526492519563,0.13110162372362535,0.18663927240230382,0.11153723452498646,0.13257651425786185,0.13004497969325848,0.07389331658448457,0.09836744598597724,0.07674356325380784,0.09191145850257468,0.08337614754027985,0.1211819654199095,0.30915163120976674,0.07606864594570781,0.09957062319691494,0.12982397783439623,0.13859779437572653,0.11306897557148715,0.25655659164489225,0.12638407337792384,0.21580603918288208,0.1546214899758349,0.1184535397301204,0.09773206743209252,0.12938955755603587,0.1526203653441404,0.1146645410070931,0.16201190626077874,0.16970578120427368,0.23736828290110662,0.09692269561527328,0.1391577772343946,0.147554839278562,0.10331728664252969,0.15955165046041442,0.1342439642551496,0.17109374849986878,0.10736356374144188,0.1337013028683654,0.09680070434097834,0.06871221273430364,0.09234376088016984,0.07670809304019115
lh_entorhinal,0.0702861748308305,0.06292633442190046,0.07935704725118607,0.07842001454482245,0.0,0.11388068383000786,0.0956467240687049,0.13701695601956626,0.09177703220280896,0.08838793493365621,0.12268096910946275,0.09267402997173362,0.11015171385232861,0.14469343723545575,0.1338250123959105,0.0891269013790533,0.09001494906910801,0.11883827692919409,0.0843028891059802,0.054368523532834806,0.08491843190712609,0.07122210451422059,0.09436934270968063,0.08266270793316176,0.08428275391032335,0.09144044581867808,0.10443980555655819,0.08872866525024393,0.11960683971508883,0.11133144260204735,0.08885956268673212,0.14473067361167982,0.0715371758652399,0.07982459838803528,0.06819533045830536,0.0659450802006238,0.07185588639396852,0.09640608642727028,0.41683007615977313,0.10902998576528604,0.09722829158857599,0.14122693126597033,0.09861808632770433,0.10018763119808437,0.11863914673063047,0.09619140234869267,0.12003404505782116,0.13258637827157202,0.12918930949079238,0.08409444460984802,0.08713886865069619,0.13238566543941072,0.08780168238606195,0.056476647352287315,0.08150997683900524,0.07128174581523784,0.09767269066778445,0.08861307368468486,0.07674380178401811,0.08973499512452116,0.09951803255945815,0.08526329498853018,0.10689948650878803,0.1057823254840778,0.11043924757450571,0.154546221019802,0.06597573903090526,0.07981337944833808
lh_fusiform,0.16785140843527133,0.14929077189789555,0.16012134261875435,0.1022326490028642,0.11388068383000786,0.0,0.2251458392412469,0.26417991461331386,0.1656102270896296,0.15021611618808273,0.247464911640835,0.1906488774023167,0.16557533248568104,0.2260969416957034,0.2285187370661026,0.14603099941940748,0.1714670688811742,0.12498167166319157,0.15197048159534687,0.09598442528064778,0.12980227425189803,0.16117818352054677,0.17251023458325423,0.20694052604884436,0.16369917453630256,0.19268121905084726,0.19758859753230681,0.14210512668407618,0.2210394214821369,0.19204325803982136,0.08222975312046266,0.08712509670730095,0.14473888740307317,0.15437829332619565,0.16439532241710803,0.125853499566669,0.13336380414330948,0.11209638343215433,0.1157631313256796,0.3883470559781581,0.22602774688504249,0.25074057793642984,0.16876222057504509,0.16883663442381722,0.25122751017059325,0.20630839677146162,0.1838574690687727,0.21145437800928088,0.18994657496714912,0.1488005111183931,0.1709767955611538,0.12494738328680619,0.15499588828012065,0.10070801751591482,0.1312130677174974,0.15469271321955116,0.1679025908318381,0.20969120159954438,0.1742443854792172,0.2043908466280404,0.20425636047626108,0.15001893947608128,0.2066439943872781,0.17965681622141697,0.08595719688095714,0.09236158565621257,0.13949110737572298,0.14919601032830732
lh_inferiorparietal,0.2159573736713966,0.14408234754727697,0.31802321978626585,0.13728739951576746,0.0956467240687049,0.2251458392412469,0.0,0.2777905140906125,0.156821515550472,0.24234814997086526,0.24748145742226768,0.2047227223131057,0.19009145166207975,0.3125459911182304,0.14617406653631212,0.20346406308842063,0.2909167230808745,0.17358825028165611,0.28084143843127757,0.1159458283103802,0.2208200317604694,0.1704215899352895,0.3007546122558348,0.34821433928027967,0.12671987297040657,0.3440736345962843,0.338929337837044,0.29671132300174347,0.3071946308526933,0.33767845512403794,0.10291596112806146,0.07332353199711376,0.1775901528799566,0.13316315878183818,0.23733833825019676,0.11371477160600992,0.2655144657553731,0.13791687491730575,0.09283893187478583,0.22758101316387186,0.42650986966375315,0.28778966285832874,0.14609149837741772,0.2653112623024339,0.24922924329032575,0.20395974785127405,0.19636009132826715,0.2889266804962229,0.1585244612179951,0.22242213526972335,0.2943341704661291,0.16085205061650604,0.2876536072866458,0.12620468401590884,0.2198588111980554,0.15682557847407394,0.3168659381326546,0.3720187976573058,0.14954857397847374,0.38292795812593283,0.3306115738830515,0.3059071145174275,0.2799992922186969,0.32126468504000044,0.10101652565670073,0.07816946972315783,0.17613451276970646,0.12415474136852565
lh_inferiortemporal,0.20028054884961954,0.12391763449254047,0.2004568503180246,0.12681074436069634,0.13701695601956626,0.26417991461331386,0.2777905140906125,0.0,0.15261317307370245,0.18430298055049757,0.28060535038761575,0.18142869987275334,0.18122971829452836,0.34223516452249514,0.20762929918588446,0.16185740634150464,0.2083199530394428,0.16795811924081597,0.20028319488123356,0.09224901087609172,0.1502846951014762,0.14659454814536776,0.21297305873251202,0.21071971559505812,0.14026151957624966,0.21533199927745214,0.26220524612315194,0.18470307052666574,0.2982787402446879,0.2714053578522474,0.09981190262095165,0.09418189688943764,0.13927851608066646,0.14985695327728685,0.19383776766180788,0.10974248311377037,0.14959799955823483,0.13635517257215732,0.13805684794753229,0.26032194152288446,0.2753116098778118,0.34369046252848784,0.16345994612531278,0.21457159226734918,0.2839159924478379,0.20689641533297162,0.2188963642283023,0.34062857973813654,0.21020391079112685,0.15866673594280103,0.228544427210108,0.1717618578487341,0.214376291328207,0.0970371109260852,0.15837214168617875,0.12940935789768965,0.22432024486622462,0.245482200097498,0.14368982702379923,0.24155356596828728,0.2527697859154946,0.1980125578795736,0.27977417841076274,0.23326557497352907,0.10329411015395368,0.09695115181006167,0.13930716906299118,0.13692210839470828
lh_isthmuscingulate,0.12971773281460341,0.14036945236950357,0.1236950530586293,0.12216913377603816,0.09177703220280896,0.1656102270896296,0.156821515550472,0.15261317307370245,0.0,0.15448058642432225,0.1557505580395329,0.18025917591851245,0.14660195829633255,0.14709605137554765,0.15080874890517593,0.14175586859766298,0.1388358469177663,0.11960029352520504,0.13676726710191703,0.1450796602779733,0.13881941741295808,0.22357792547224248,0.14501673191608558,0.16551481872797344,0.1834392512758372,0.17558815597246602,0.16724472219343145,0.13838247570955794,0.1336983787639858,0.14148007608820226,0.07728742840721149,0.06919453906617544,0.12014811256213502,0.1149940672932989,0.12967839710460952,0.17171036741810522,0.12554469387558762,0.12666818753868178,0.08672508181954859,0.15616000565913957,0.16123311228165302,0.17058862791915108,0.2750882141062759,0.15997044779392397,0.18728462476980814,0.19087461787739668,0.16399167570413084,0.14701081282834122,0.13595379260908436,0.12775220669523024,0.14721260167301245,0.1241470214621783,0.1437025000450431,0.1462243065624479,0.1452382098123728,0.20482406182268387,0.15293107124102398,0.16120974091416526,0.17882000493318953,0.16637814508759424,0.1579104249420723,0.13748548314912193,0.13691258736728737,0.14140846944203928,0.07481801959983965,0.06946780533521801,0.11818213308599097,0.11536602010584168
lh_lateraloccipital,0.14288980496177975,0.12366072140439556,0.2029702342578095,0.26967817649358894,0.08838793493365621,0.15021611618808273,0.24234814997086526,0.18430298055049757,0.15448058642432225,0.0,0.18398222365769695,0.28315520725724175,0.1900087046398204,0.18032493164268262,0.12103958973403994,0.20437059996762286,0.2267716408631809,0.20194789099864638,0.2536427377057446,0.1637224363407916,0.2643104265506763,0.14325238164434265,0.20597945812412158,0.27309471114934114,0.11475993694517403,0.28284555911504083,0.2278479104751291,0.30767151302947265,0.16960442518565905,0.21095343827075744,0.13682001318356699,0.07434268760827387,0.1380975098872754,0.09271700288208655,0.1310233107611686,0.10692120353996372,0.19846631234702802,0.27056246203097667,0.08437416762479827,0.14544338424494305,0.2327548075813616,0.1949483096199454,0.14262332884419468,0.4076630826590882,0.18311639604813532,0.26977155769427547,0.21322778063659495,0.18769556459384734,0.1237828578833516,0.1976064007795043,0.22946667047599784,0.1586773246414017,0.25939630080590564,0.1771567715704556,0.28910884866058323,0.13014881644440177,0.22190060536686024,0.2554887913991582,0.13513737747685622,0.2793904409812113,0.22515202146135407,0.27264709378626045,0.16529307483534192,0.20677881725220443,0.11117890272296009,0.07217978707435546,0.13200450886812334,0.08926177390213037
