,lh_bankssts,lh_caudalanteriorcingulate,lh_caudalmiddlefrontal,lh_cuneus,lh_entorhinal,lh_fusiform,lh_inferiorparietal,lh_inferiortemporal,lh_isthmuscingulate,lh_lateraloccipital,lh_lateralorbitofrontal,lh_lingual,lh_medialorbitofrontal,lh_middletemporal,lh_parahippocampal,lh_paracentral,lh_parsopercularis,lh_parsorbitalis,lh_parstriangularis,lh_pericalcarine,lh_postcentral,lh_posteriorcingulate,lh_precentral,lh_precuneus,lh_rostralanteriorcingulate,lh_rostralmiddlefrontal,lh_superiorfrontal,lh_superiorparietal,lh_superiortemporal,lh_supramarginal,lh_frontalpole,lh_temporalpole,lh_transversetemporal,lh_insula,rh_bankssts,rh_caudalanteriorcingulate,rh_caudalmiddlefrontal,rh_cuneus,rh_entorhinal,rh_fusiform,rh_inferiorparietal,rh_inferiortemporal,rh_isthmuscingulate,rh_lateraloccipital,rh_lateralorbitofrontal,rh_lingual,rh_medialorbitofrontal,rh_middletemporal,rh_parahippocampal,rh_paracentral,rh_parsopercularis,rh_parsorbitalis,rh_parstriangularis,rh_pericalcarine,rh_postcentral,rh_posteriorcingulate,rh_precentral,rh_precuneus,rh_rostralanteriorcingulate,rh_rostralmiddlefrontal,rh_superiorfrontal,rh_superiorparietal,rh_superiortemporal,rh_supramarginal,rh_frontalpole,rh_temporalpole,rh_transversetemporal,rh_insula
lh_bankssts,0.0,0.1401499293434698,0.26769605661852114,0.11217288129609733,0.10963019512518433,0.2317317670429749,0.2909850766256871,0.27019248505483295,0.1828011839952462,0.1794067565764783,0.2369744155573957,0.16330035493566106,0.1746517231672884,0.2659063589522591,0.1795749744220226,0.1592434886444487,0.25892224614414766,0.14581102428374476,0.16882144256014409,0.10430821958051689,0.18326715933617807,0.1847345919966197,0.21518049007802625,0.2854595557826755,0.17774338562615144,0.2411393638308198,0.25881271196404154,0.24191785646830596,0.22998508063164488,0.3116926733413504,0.08002632450802438,0.07679710712058103,0.15315107671914793,0.1453061359565947,0.22835092171717938,0.16593780071206438,0.24723712348017132,0.11237943248176441,0.13540137243555447,0.22137138562721667,0.33210183239060187,0.23550588415804155,0.16473383428403074,0.1969912397618861,0.23271756509336955,0.15888051164677658,0.19040215539189545,0.26221294319155947,0.20585290461174527,0.18317415899515338,0.2315554056296674,0.1438397874117723,0.23604762769877333,0.12401049880099992,0.2074424294021399,0.18400573126185443,0.23239858956531917,0.29177675550909826,0.15572737092887248,0.2601230423666911,0.27023305031879763,0.21993169550338504,0.19846990604072123,0.2309027924391705,0.08055698354513861,0.08510984375563205,0.13556725876760578,0.13158296375205045
lh_caudalanteriorcingulate,0.1401499293434698,0.0,0.11677944303452961,0.0928440266373727,0.07643968772775891,0.1368287331444495,0.1253332304132583,0.13103152150341651,0.19932106102297525,0.12022659198128692,0.128045405216689,0.1197695989921786,0.1233687254433046,0.11554683601407431,0.09694765192808746,0.10565590774962469,0.1322566660009127,0.08427072616717377,0.09284066188547113,0.10467783911254731,0.11690187970197817,0.1962604982327848,0.10970939129236604,0.13425574236234447,0.16797653175899266,0.1481999706750414,0.12061607667539108,0.12179174160843406,0.10362048258266236,0.12573203686846357,0.06370378531686514,0.058642965696277555,0.11003689600847336,0.0977008707627931,0.11247629265024128,0.2485700644772991,0.10955492169755073,0.08414067992523015,0.08259393355758958,0.1338076717046437,0.12736222553119836,0.1198753635559245,0.16918049175268976,0.13809039151945376,0.1710111491660802,0.11677480062262788,0.1289376699585445,0.11884029084765058,0.10513493020192666,0.10522050118669428,0.10814124305540306,0.10785155611797131,0.11467119898848739,0.11972233230128239,0.11914483290961507,0.2062220664929864,0.10959465592297525,0.14204544256598173,0.18515566604145994,0.15098544978186884,0.1335497568950452,0.11870596535119607,0.09954834095151785,0.11038546509160883,0.06064961826046793,0.06463897973523165,0.11008374902883179,0.08830682883577534
lh_caudalmiddlefrontal,0.26769605661852114,0.11677944303452961,0.0,0.11525518047482154,0.09720160543820032,0.19853278898749566,0.3165581691872646,0.19917027493372705,0.143072395332259,0.1950293557064308,0.24111371424438569,0.1647763457360144,0.16424748027930738,0.24636568770459286,0.15477906449990228,0.1690437710455809,0.29841305530677664,0.1510696780629196,0.22321082795662764,0.09516533156339392,0.19887376514093116,0.1541155085590998,0.2801521379276545,0.3187781808818199,0.15169170127420248,0.2658945974501908,0.288819829193349,0.2940589871643377,0.23853893044615782,0.3580747775519443,0.08617584842633544,0.07778294864917953,0.16930920411001954,0.12915955660148712,0.2210732070359789,0.14109210827694618,0.32705959895055,0.12153836859712967,0.12515124858513357,0.19462876780777555,0.3378320263141596,0.2295972659395429,0.14781054706103047,0.1931880350256138,0.19742027054166528,0.16711602745459755,0.20959108343668545,0.2332468275657482,0.17634927178834664,0.19752965026272226,0.27368844470068787,0.15251504169357646,0.2807560789440559,0.11285018168368396,0.22147454372863465,0.1588512779888352,0.27152248427269415,0.31722779062543655,0.13756658580975567,0.26679247274186646,0.2788306603821542,0.26289510762050206,0.19175890944024598,0.2825385218143375,0.0866141720624909,0.08361512029878332,0.13701247106625009,0.12879285275275576
lh_cuneus,0.11217288129609733,0.0928440266373727,0.11525518047482154,0.0,0.0748770817466016,0.09746855214707631,0.14896550118962482,0.11380997115927238,0.12468775928517052,0.231616604731321,0.12414892215915259,0.22073502832424874,0.1742958336965991,0.10234627879078537,0.11334385771533739,0.13898868937895395,0.13527257972123571,0.1060279462667261,0.13294087896491244,0.13897436033423688,0.1914288257827693,0.09734729332778495,0.10105821662006316,0.13186162768898976,0.09961985945664822,0.13960068400142034,0.12137251485284402,0.17484137802179195,0.10434988541857132,0.13679620668855488,0.11596208282924984,0.06995655758631918,0.10277900534576562,0.07462031437909648,0.0920455013985159,0.10689778326258655,0.11595218652875151,0.30119305705199273,0.09009082455221776,0.09103634168597882,0.13232863299303113,0.11731475850253174,0.14141019632532176,0.22220681607084292,0.1276622870243817,0.24711918643002298,0.16683723271037174,0.11627140656698391,0.1087790840655901,0.13870322264429827,0.10774937445941078,0.12970600523959464,0.1444270349699511,0.1778789980324517,0.17927860572318619,0.09935881149171064,0.10459558199065071,0.1269811625796382,0.09256325080662002,0.16012892206781618,0.12045600474538078,0.1643500464128604,0.09266656678376269,0.11551229986781632,0.1002476004704698,0.07387835300547954,0.07903524090789661,0.0724028717614136
lh_entorhinal,0.10963019512518433,0.07643968772775891,0.09720160543820032,0.0748770817466016,0.0,0.1274362985933856,0.10500568674923852,0.14607251760587198,0.10997384014714369,0.09815746113568471,0.13020077478082648,0.0942478093326107,0.09513634648801315,0.14781288006710824,0.15608255578326885,0.09380090577286651,0.10649654020010776,0.1460231206595442,0.08503198551311679,0.04894753605487828,0.08854133301969502,0.08674178783309226,0.12929138964575587,0.09922077719961069,0.09809766449169866,0.08834528087959126,0.13067253509133234,0.09475193273249989,0.13494545178233047,0.10611315226760662,0.07402157104520957,0.11457375533742316,0.08725399625781301,0.08973667960826366,0.08661489116186741,0.06935633067597897,0.09558501728140538,0.08027796681360096,0.2773672842383975,0.12624142799191382,0.118778543970921,0.13908973519423024,0.1002339816391424,0.11033272599798113,0.12454168491023475,0.09551789714505049,0.09987823008584326,0.14819231446655373,0.13569905274195412,0.10225330520751728,0.10388232426904825,0.12925145043566877,0.10977601206618058,0.05422519963714086,0.09547573044021526,0.09044448676140912,0.12581130585752914,0.10205276426906931,0.08792198719744598,0.10111856535048858,0.12827916985336,0.08417622812775764,0.15696566307901133,0.12284221770865697,0.0875763148077929,0.13976091116263079,0.07976187029099525,0.08454367819501599
lh_fusiform,0.2317317670429749,0.1368287331444495,0.19853278898749566,0.09746855214707631,0.1274362985933856,0.0,0.22741931572447235,0.26269668427354953,0.18141549872929744,0.1720945096049783,0.21913871379833277,0.15951685938401827,0.14702307239886775,0.23310738029215144,0.2042076806948592,0.14376406961182522,0.21670404062803064,0.13050854711565285,0.12898537933239757,0.08363163698446771,0.14116279646988425,0.23660255766528673,0.20072269139671464,0.2417651379773643,0.18762002218589433,0.17785005112832913,0.2540847816717704,0.16605919301834998,0.22069686284436932,0.21923700912252864,0.07190435007263328,0.0819248683529641,0.1590024287511839,0.16199149912179325,0.18602424347544758,0.15227763997176352,0.19416176292339543,0.09795535696791682,0.12870075080830642,0.38568577589092473,0.23288206424947377,0.28239645165990757,0.16278399027662901,0.1759772930395579,0.2624130357518128,0.14861474080008935,0.1767748158934717,0.23698922031612965,0.2087758570266692,0.17416440019281737,0.17400158164863191,0.12900671963769625,0.17725215670009548,0.10413238158466755,0.1421943073924919,0.2169232596020839,0.21396985994722173,0.22410717071958422,0.15675910387630035,0.20378517556938613,0.24120769201415146,0.14745490010185663,0.21565775612736682,0.17789235064974826,0.0743605463277605,0.09170519016379267,0.13618007077147748,0.15245754852195437
lh_inferiorparietal,0.2909850766256871,0.1253332304132583,0.3165581691872646,0.14896550118962482,0.10500568674923852,0.22741931572447235,0.0,0.23063040020294956,0.16344997400187983,0.24513818512940433,0.25874810698883693,0.1961583261186503,0.20442322887175504,0.2620264598319123,0.1837816578403425,0.18768508519911728,0.328308894554678,0.1801464678792379,0.23092625578452192,0.10229651142973814,0.2447816534475043,0.16529869210287226,0.24077650153780264,0.36017057635044347,0.1677855469500759,0.3093652310565615,0.32542224629856104,0.3506067335822491,0.24211820671230344,0.3635359835021339,0.10569840214235356,0.08588214149093867,0.18594739491918788,0.12227122565018904,0.22849336965944742,0.14601845062472385,0.33642658795946667,0.14908133756018202,0.13920369521858786,0.2090228294728046,0.37844949773781683,0.2544474035861423,0.160055915582814,0.24858772875535093,0.23361386314910254,0.2039276158597021,0.2519872331385019,0.26731444781893604,0.1942527139465284,0.21501884155846726,0.25200768077146424,0.16967961673318677,0.281388826027906,0.12869390200417893,0.2527605078283135,0.17110081158237272,0.24898308986088508,0.32184793852364396,0.140200064745651,0.3228441667058853,0.3288683952499712,0.30534345699978666,0.2079542672058655,0.2676339218799,0.10161438161092248,0.09344587947043324,0.13188745703520868,0.11909416738096082
lh_inferiortemporal,0.27019248505483295,0.13103152150341651,0.19917027493372705,0.11380997115927238,0.14607251760587198,0.26269668427354953,0.23063040020294956,0.0,0.1766492782122847,0.20377773176597702,0.24598006704409897,0.16173805111043343,0.18053091601884383,0.3583984973730768,0.18711005993450425,0.14829820958762963,0.22222309337133053,0.1803205930778086,0.14574408876368378,0.09194421143794453,0.1716105796907775,0.15845474018087197,0.2015584867375847,0.2519440048453834,0.18044949375162314,0.21002068755249678,0.25555007705985255,0.18381418634661223,0.2269974568448694,0.23870048160876536,0.08296906822579479,0.09387291964761342,0.1294679707029539,0.11661618457856404,0.14940891795508537,0.13620403619176527,0.19364553564222317,0.11451234056495903,0.16845644756445977,0.24152958161215657,0.2873966807561528,0.36692783125081313,0.17361603734875078,0.21840419681091588,0.27154283699860265,0.1655777333758039,0.19272239865947255,0.3566306117329091,0.19054668861411028,0.1616591130449426,0.19060122748537195,0.17658065781336632,0.21003368186168386,0.10733895660379085,0.1973425944512541,0.16116466531090784,0.23795735143788002,0.23464887580331337,0.14926848273692492,0.26335924189241955,0.2606723677567204,0.16729691517503226,0.2117433446868289,0.2060550471282791,0.08516719879049668,0.10448702359698174,0.10853415183315746,0.11074710878601214
lh_isthmuscingulate,0.1828011839952462,0.19932106102297525,0.143072395332259,0.12468775928517052,0.10997384014714369,0.18141549872929744,0.16344997400187983,0.1766492782122847,0.0,0.17329758939404905,0.17067941947453116,0.1620186609084563,0.17054745798810247,0.16158471008712197,0.15139457340737,0.1408898540654507,0.16739161076918455,0.10765579171105423,0.11730645722323571,0.11160114837395704,0.1508583788038607,0.21885192448675506,0.1368210822919827,0.162208478849205,0.2074216141594827,0.17415036428275,0.15495863573196475,0.14584878999666437,0.13385795372216686,0.15250835071000618,0.07979010039582508,0.07312830314796666,0.12968677261551387,0.11434543975616425,0.12390749956307089,0.17300837223640744,0.12973158012556016,0.11125079118162795,0.11751780301676196,0.17299360726854848,0.16055747075329777,0.15626132916448127,0.30891905600267255,0.1973988004212179,0.21118050180229178,0.16643229937318785,0.1772223221271096,0.15956381386618956,0.15589711509456036,0.1396247567747663,0.1264963718745434,0.13712813494360335,0.1373501569184078,0.13215976130604068,0.14899519302484904,0.24485570575779086,0.1380729265016081,0.15993882590358796,0.1888015079084135,0.18119573565108088,0.16598271494949426,0.1344875327921803,0.12466852573549561,0.13146055275598018,0.07479873883652284,0.08204024978073471,0.11241855758612598,0.10709485431889575
lh_lateraloccipital,0.1794067565764783,0.12022659198128692,0.1950293557064308,0.231616604731321,0.09815746113568471,0.1720945096049783,0.24513818512940433,0.20377773176597702,0.17329758939404905,0.0,0.19196599587304666,0.25211911915797075,0.22708662732263318,0.1895563958408893,0.15209616558953193,0.17308940612220206,0.2100863619129809,0.15952422231429442,0.17018845965377846,0.13303790906760604,0.24231076921470024,0.14030383070924388,0.16304982198093862,0.23065177460233097,0.14564013013483504,0.23094147882678107,0.20003854224752746,0.27031091388890155,0.157132376917194,0.20904273063197032,0.11565319453516455,0.08587367186653004,0.13025971596761135,0.08601262431747833,0.12250650851346372,0.1281199743368688,0.18478176725082882,0.22757468601848135,0.12662403322850507,0.14693021136869885,0.2172288983551236,0.20432238928064858,0.20044660508521187,0.4296294316573383,0.20467521612625936,0.2699375613052491,0.2441162214004388,0.20144941008975373,0.15432712632477458,0.180614018225904,0.15372904429105416,0.19292225903730553,0.21755754915618772,0.17097530413316156,0.2368561253670697,0.1461530246136147,0.1715444039122284,0.1982636431339304,0.11322343141961809,0.28136931350718336,0.1984184118695076,0.23697160041781054,0.13779140495829587,0.1610651774300138,0.10410489942433314,0.09122905729309784,0.08892561843706863,0.08448575500984211
