fs_id,subject_id,required_files_ok,missing_files,log_reports_error,manual_surface_qc,final_qc_pass
ds000030_sub-11098,sub-11098,True,,False,PASS,True
ds000030_sub-11104,sub-11104,True,,False,PASS,True
ds000030_sub-11105,sub-11105,True,,False,PASS,True
ds000030_sub-11106,sub-11106,True,,False,PASS,True
ds000030_sub-11108,sub-11108,True,,False,PASS,True
ds000030_sub-11112,sub-11112,True,,False,PASS,True
ds000030_sub-11122,sub-11122,True,,False,PASS,True
ds000030_sub-11128,sub-11128,True,,False,PASS,True
ds000030_sub-11131,sub-11131,True,,False,PASS,True
ds000030_sub-11142,sub-11142,True,,False,PASS,True
ds000030_sub-11143,sub-11143,True,,False,PASS,True
ds000030_sub-11149,sub-11149,True,,False,PASS,True
ds000030_sub-11156,sub-11156,True,,False,PASS,True
ds000030_sub-50004,sub-50004,True,,False,PASS,True
ds000030_sub-50005,sub-50005,True,,False,PASS,True
ds000030_sub-50006,sub-50006,True,,False,PASS,True
ds000030_sub-50007,sub-50007,True,,False,PASS,True
ds000030_sub-50008,sub-50008,True,,False,PASS,True
ds000030_sub-50010,sub-50010,True,,False,PASS,True
ds000030_sub-50013,sub-50013,True,,False,PASS,True
ds000030_sub-50014,sub-50014,True,,False,PASS,True
ds000030_sub-50015,sub-50015,True,,False,PASS,True
ds000030_sub-50016,sub-50016,True,,False,PASS,True
ds000030_sub-50020,sub-50020,True,,False,PASS,True
ds000030_sub-50021,sub-50021,True,,False,PASS,True
ds000030_sub-50022,sub-50022,True,,False,PASS,True
ds000030_sub-50023,sub-50023,True,,False,PASS,True
ds000030_sub-50025,sub-50025,True,,False,PASS,True
ds000030_sub-50027,sub-50027,True,,False,PASS,True
ds000030_sub-50029,sub-50029,True,,False,PASS,True
ds000030_sub-50032,sub-50032,True,,False,PASS,True
ds000030_sub-50033,sub-50033,True,,False,PASS,True
ds000030_sub-50034,sub-50034,True,,False,PASS,True
ds000030_sub-50035,sub-50035,True,,False,PASS,True
ds000030_sub-50036,sub-50036,True,,False,PASS,True
ds000030_sub-50038,sub-50038,True,,False,PASS,True
ds000030_sub-50043,sub-50043,True,,False,PASS,True
ds000030_sub-50047,sub-50047,True,,False,PASS,True
ds000030_sub-50048,sub-50048,True,,False,PASS,True
ds000030_sub-50049,sub-50049,True,,False,PASS,True
ds000030_sub-50050,sub-50050,True,,False,PASS,True
ds000030_sub-50051,sub-50051,True,,False,PASS,True
ds000030_sub-50052,sub-50052,True,,False,PASS,True
ds000030_sub-50053,sub-50053,True,,False,PASS,True
ds000030_sub-50054,sub-50054,True,,False,PASS,True
ds000030_sub-50055,sub-50055,True,,False,PASS,True
ds000030_sub-50056,sub-50056,True,,False,PASS,True
